Category,Ad Name,Entered By
b2b,"Adani Group Pehle Pankha Aayega, Phir Bijli Aayegi","ADANI GROUP"
b2b,"Ambuja Cement Giants Together","STORY DIGITAL"
b2b,"Jindal Steel The Steel of India","KONDURKAR STUDIO"
b2b,"Raising Kandhamal A Redwing Deployment Story","DOT FILMS"
b2b,"Buckaroo Fit My Feet","MCCANN WORLDGROUP"
b2b,"Tabreed Sustainable Cooling","MAIN DIVISION"
b2b,"Buckaroo Fit My Feet","MCCANN WORLDGROUP"
b2b,"Lay's India Farm Equal Case","LEO INDIA"
b2b,"Lay's India Water Sustainibility | Drops of Joy","LEO INDIA"
b2b,"Motorola Deep Connect","DENTSU CREATIVE INDIA"
b2b,"Shankh Sound Studio The Sound Design","MCCANN WORLDGROUP"
b2b,"Kirloskar Group Vasundhara","CENTRICK"
audio-radio,"Fresh Pick Rooster","MCCANN WORLDGROUP"
audio-radio,"Odomos Shhh...","MCCANN WORLDGROUP"
audio-radio,"Motorola Deep Connect","DENTSU CREATIVE INDIA"
audio-radio,"Odomos Clap","MCCANN WORLDGROUP"
audio-radio,"Rotary Club of Bangalore Alzheimer's Disease","MCCANN WORLDGROUP"
audio-radio,"Shankh Sound Studio The Sound Direction","MCCANN WORLDGROUP"
press-outdoor-digital,"Flipkart Wipe this Ad","LEO INDIA"
press-outdoor-digital,"Jindal Steel The Steel of India","KONDURKAR STUDIO"
press-outdoor-digital,"Sleepwell Did You Sleepwell?","SIDEWAYS CONSULTING"
press-outdoor-digital,"Swiggy Mango","HAVAS MEDIA"
press-outdoor-digital,"Buckaroo Fit My Feet","MCCANN WORLDGROUP"
press-outdoor-digital,"Eyebetes The Naga Saint Eye Test","GODREJ CONSUMER PRODUCTS"
press-outdoor-digital,"Gatorade Turf Finder","LEO INDIA"
press-outdoor-digital,"Jindal Steel The Steel of India","IMRAN KHATRI PRODUCTIONS & KONDURKAR STUDIO"
press-outdoor-digital,"Economic Times Budget Blockbusters","MANJA"
press-outdoor-digital,"Economic Times Resolve","MANJA"
press-outdoor-digital,"Tide Vs. Holi","SOCIOWASH MEDIA"
press-outdoor-digital,"TIMS CS","MANJA"
press-outdoor-digital,"Tinder Consent Lena Zaroori Hai","ONLY MUCH LOUDER"
press-outdoor-digital,"WhatsApp 'Oye Lucky' ft. Abhay Deol","BBDO INDIA"
press-outdoor-digital,"Amazon Prime Dupahiya","TOASTER INDIA"
press-outdoor-digital,"Economic Times Budget Blockbusters","MANJA"
press-outdoor-digital,"Prestige Group Ad","BY THE GRAM"
press-outdoor-digital,"Spotify 2024 Wrapped How To Get Over Your Ex","KULFI COLLECTIVE"
press-outdoor-digital,"Buckaroo Fit My Feet","MCCANN WORLDGROUP"
press-outdoor-digital,"ESAF Dabba Savings Account","MCCANN WORLDGROUP"
press-outdoor-digital,"Gatorade Turf Finder","LEO INDIA"
press-outdoor-digital,"Motorola Deep Connect","DENTSU CREATIVE INDIA"
press-outdoor-digital,"Reliance Pink Star Rating","ATOM NETWORK"
press-outdoor-digital,"Madhur The Good Cut","DENTSU CREATIVE INDIA"
press-outdoor-digital,"Maggi Kona Ni Khona","MCCANN WORLDWIDE"
press-outdoor-digital,"Dipsy Take a Dip","CTA COMMUNICATIONS"
press-outdoor-digital,"Sleepwell Sleepwell Mom","SIDEWAYS CONSULTING"
press-outdoor-digital,"Ariel India How Strong is Your Home Team?","BBDO INDIA"
press-outdoor-digital,"Buckaroo Fit My Feet","MCCANN WORLDGROUP"
press-outdoor-digital,"Eyebetes The Naga Saint Eye Test","GODREJ CONSUMER PRODUCTS"
press-outdoor-digital,"Garuda Rakshak The Guardian in the Sky","DENTSU CREATIVE INDIA"
press-outdoor-digital,"Madhur The Good Cut","DENTSU CREATIVE INDIA"
press-outdoor-digital,"Motorola Deep Connect","DENTSU CREATIVE INDIA"
press-outdoor-digital,"Reliance Pink Star Rating","ATOM NETWORK"
press-outdoor-digital,"Uber Women's Safety","DENTSU CREATIVE INDIA"
culture-and-collaboration,"JimJam Pops No Twist this World Cup","THE WOMB"
culture-and-collaboration,"Myntra FWD Gukesh Vs Vishy","BRAINDAD"
culture-and-collaboration,"Spotify How to Get Over Your Ex","KULFI COLLECTIVE"
